State,Code,District,Headquarters,Population,Area,Density,Longitude,Latitude
Andhra Pradesh,AN,Anantapur,Anantapur,4083315,19130,213,77.55625984,14.6546235
Andhra Pradesh,CH,Chittoor,Chittoor,4170468,15152,275,79.15555062,13.1601048
Andhra Pradesh,EG,East Godavari,Kakinada,5151549,10807,477,82.2350607,16.9437385
Andhra Pradesh,GU,Guntur,Guntur,4889230,11391,429,80.4541588,16.2915189
Andhra Pradesh,CU,Kadapa,Kadapa,2884524,15359,188,78.8216861,14.4752936
Andhra Pradesh,KR,Krishna,Machilipatnam,4529009,8727,519,81.1351299,16.1819393
Andhra Pradesh,KU,Kurnool,Kurnool,4046601,17658,229,78.0425373,15.8309251
Andhra Pradesh,PR,Prakasam,Ongole,3392764,17626,192,80.06078519,15.5075545
Andhra Pradesh,NE,Sri Potti Sriramulu Nellore,Nellore,2966082,13076,227,79.9873763,14.4493717
Andhra Pradesh,SR,Srikakulam,Srikakulam,2699471,5837,462,83.9160772,18.32002205
Andhra Pradesh,VS,Visakhapatnam,Visakhapatnam,4288113,11161,384,83.3012842,17.7231276
Andhra Pradesh,VZ,Vizianagaram,Vizianagaram,2342868,6539,358,83.40521962,18.1120819
Andhra Pradesh,WG,West Godavari,Eluru,3934782,7742,508,81.17086824,16.67613485
Arunachal Pradesh,AJ,Anjaw,Hawai,21089,6190,3,96.8124468,27.8843894
Arunachal Pradesh,CH,Changlang,Changlang,147951,4662,32,95.7382485,27.1398402
Arunachal Pradesh,EK,East Kameng,Seppa,78413,4134,19,93.0406098,27.3594183
Arunachal Pradesh,ES,East Siang,Pasighat,99019,3603,27,95.33634325,28.06501385
Arunachal Pradesh, –,Kamle,Raga, –, –, –,94.0692973,27.7968313
Arunachal Pradesh, –,Kra Daadi,Jamin, –, –, –,94.12288,28.15285
Arunachal Pradesh,KK,Kurung Kumey,Koloriang,89717,6040,15,93.3536693,27.9054828
Arunachal Pradesh, –,Lepa Rada,Basar, –, –, –,94.6879423,27.9831179
Arunachal Pradesh,EL,Lohit,Tezu,145538,2402,61,96.1647135,27.9254195
Arunachal Pradesh,LD,Longding,Longding, –, –, –,95.31556525,26.8794546
Arunachal Pradesh,DV,Lower Dibang Valley,Roing,53986,3900,14,95.8430044,28.1368446
Arunachal Pradesh, –,Lower Siang,Likabali, –, –, –,94.6977781,27.6588306
Arunachal Pradesh,LB,Lower Subansiri,Ziro,82839,3508,24,93.815355,27.538668
Arunachal Pradesh, –,Namsai,Namsai, –, –, –,96.01597094,27.71403055
Arunachal Pradesh, –,Pakke-Kessang,Lemmi, –, –, –,93.2207107,27.1594406
Arunachal Pradesh,PA,Papum Pare,Yupia,176385,2875,61,93.7205996,27.1462282
Arunachal Pradesh, –,Shi Yomi,Tato, –, –, –,94.37531,28.53149
Arunachal Pradesh, –,Siang,Pangin, –, –, –,94.9895992,28.2112611
Arunachal Pradesh,TA,Tawang,Tawang Town,49950,2085,24,91.863733,27.5879186
Arunachal Pradesh,TI,Tirap,Khonsa,111997,2362,47,95.5061065,26.9910099
Arunachal Pradesh,UD,Upper Dibang Valley,Anini,7948,9129,1,96.04568576,29.0164975
Arunachal Pradesh,US,Upper Siang,Yingkiong,35289,6188,6,95.0276607,28.6410598
Arunachal Pradesh,UB,Upper Subansiri,Daporijo,83205,7032,12,94.2190544,27.9843402
