Date,State,Total Tested,Positive
1/4/20,Delhi,2621,
1/4/20,West Bengal,659,37
1/4/20,Kerala,7965,265
2/4/20,Kerala,8456,286
2/4/20,Andhra Pradesh,1800,132
2/4/20,Assam,962,16
2/4/20,Chandigarh,124,18
2/4/20,Chhattisgarh,1232,9
2/4/20,Goa,220,5
2/4/20,Punjab,1434,37
2/4/20,Uttarakhand,678,7
3/4/20,Haryana,1325,44
3/4/20,Karnataka,4587,128
3/4/20,Kerala,9139,295
3/4/20,Odisha,1395,20
3/4/20,Tamil Nadu,3684,411
4/4/20,West Bengal,1042,
4/2/20,Kerala,9744,306
5/4/20,Madhya Pradesh,2812,193
5/4/20,Uttar Pradesh,5255,278
5/4/20,Bihar,3037,32
5/4/20,Jammu and Kashmir,1551,106
5/4/20,Kerala,10221,314
5/4/20,Rajasthan,12279,260
5/4/20,Arunachal Pradesh,,
5/4/20,Assam,,
5/4/20,Bihar,3037,32
5/4/20,Uttar Pradesh,5255,278
5/4/20,Uttarakhand,,
5/4/20,Maharashtra,16008,
6/4/20,Maharashtra,17563,868
6/4/20,Nagaland,60,0
6/4/20,Kerala,10716,327
6/4/20,Mizoram,58,1
6/4/20,West Bengal,1301,
7/4/20,Madhya Pradesh,3770,290
7/4/20,Odisha,2190,40
7/4/20,Haryana,2520,141
7/4/20,Uttarakhand,1289,32
7/4/20,Rajasthan,17638,363
7/4/20,West Bengal,1487,
7/4/20,Kerala,11232,336
7/4/20,Maharashtra,20877,1018
7/4/20,Mizoram,58,1
7/4/20,Odisha,2441,42
7/4/20,Delhi,9041,576
7/4/20,Karnataka,6580,175
8/4/20,Gujarat,4224,186
8/4/20,Tamil Nadu,5305,690
8/4/20,Bihar,4596,38
8/4/20,Punjab,2937,106
8/4/20,Kerala,11986,354
8/4/20,Odisha,2441,42
8/4/20,Madhya Pradesh,4056,341
8/4/20,Mizoram,74,1
8/4/20,Rajasthan,17638,363
8/4/20,Haryana,2650,153
8/4/20,Chandigarh,184,18
8/4/20,Karnataka,6967,181
9/4/20,Rajasthan,19107,463
9/4/20,Arunachal Pradesh,206,1
9/4/20,West Bengal,1889,
9/4/20,Uttar Pradesh,8402,410
9/4/20,Uttarakhand,1531,35
9/4/20,Karnataka,7613,197
9/4/20,Haryana,2964,156
9/4/20,Madhya Pradesh,5135,411
9/4/20,Goa,344,7
9/4/20,Maharashtra,20877,868
9/4/20,Mizoram,84,1
9/4/20,Odisha,3249,48
9/4/20,Kerala,12710,258
9/4/20,Punjab,3192,130
9/4/20,Bihar,4991,43
